Candidate,County,Number of Votes,Ten Percent of Vote,Tweet List
clinton,Polk,53%,Y,"['JuanMaBenitez: Who wants a picture with hillaryclinton? #DesMoines #Iowa @ Grand View University https://t.co/ncbYIFeErv\n', ""Bertine83: 'An alligator in a tutu'  I clicked @JamesCarville Hillary campagne wordt nerveus van @BernieSanders #Iowa2016 https://t.co/hyo4Jx28jW\n"", ""Bertine83: 'An alligator in a tutu'  I clicked @JamesCarville Hillary campagne wordt nerveus van @BernieSanders #Iowa2016 https://t.co/hyo4Jx28jW\n"", ""mattyfactory: Hillary and Chelsea at I'll Make Me A World in Iowa African American Festival. Because Iowa. https://t.co/ytOq5tm4WT\n"", 'HaleyLive: Hear us roar! Women for hillaryclinton in Des Moines, IA. The caucus is in two days and Hillary https://t.co/mo9xguTPtw\n', 'HaleyLive: Hear us roar! Women for hillaryclinton in Des Moines, IA. The caucus is in two days and Hillary https://t.co/mo9xguTPtw\n', 'KimberlyHalkett: Live shots about #clintonemails outside #clintoncampaign2016 office in #desmoinesiowa @ Des https://t.co/4potzywBsD\n', ""Bertine83: National campaign manager van @HillaryClinton Robby Mook ontmoet #Iowa2016 Op achtergrond: 'I will give my all...' https://t.co/BxAEJpvILm\n"", ""Bertine83: National campaign manager van @HillaryClinton Robby Mook ontmoet #Iowa2016 Op achtergrond: 'I will give my all...' https://t.co/BxAEJpvILm\n"", 'Bertine83: De 8 geboden van de @HillaryClinton campagne. Nederigheid hoort daar ook bij... #Iowa2016 #vs2016 https://t.co/vIZgH3iQgY\n', 'Bertine83: De 8 geboden van de @HillaryClinton campagne. Nederigheid hoort daar ook bij... #Iowa2016 #vs2016 https://t.co/vIZgH3iQgY\n', 'Bertine83: En nee Robby Mook kende Hachchi niet en volgens de medewerkers van Hillary headquarters in NYC worden buitenlanders niet betaald #Iowa2016\n', 'Bertine83: Geinig @HillaryClinton en @BernieSanders campagne in zelfde gang. Ze blijven wel vriendelijk voor elkaar #Iowa2016 https://t.co/mg3j07odBG\n', 'Bertine83: Geinig @HillaryClinton en @BernieSanders campagne in zelfde gang. Ze blijven wel vriendelijk voor elkaar #Iowa2016 https://t.co/mg3j07odBG\n', 'Bertine83: Geinig @HillaryClinton en @BernieSanders campagne in zelfde gang. Ze blijven wel vriendelijk voor elkaar #Iowa2016 https://t.co/mg3j07odBG\n', 'DaraLAdams: In Iowa canvassing for hillaryclinton and will be knocking doors https://t.co/WBJ6fLv6QX\n', 'ssbot: Hillary Rodham Clinton Sighting: Des Moines, Iowa/ interview https://t.co/5t2Uc6fVmB\n', 'Bertine83: Dame Hillary headquarters in NYC vertelde btw dat ze een Dutch MP heeft rondgeleid, maar wist niet meer wie #Wieohwie? Hachchi kende ze niet\n', 'Bertine83: Deze lieve dametjes uit Michigan gebruiken hun spaarcentjes om te campaignen voor @HillaryClinton #Iowa2016 https://t.co/jxzLAVlCj6\n', 'Bertine83: Deze lieve dametjes uit Michigan gebruiken hun spaarcentjes om te campaignen voor @HillaryClinton #Iowa2016 https://t.co/jxzLAVlCj6\n', 'dkproduction: On hillaryclinton press trail with @BBCKimGhattas in #Iowa @ West https://t.co/bWrmA0rg01\n', 'HelenBrosnan: So happy to be alive!!!!!! #ImWithHer @ Hillary for Iowa https://t.co/E16kxGIrDT\n']"
clinton,Pottawattamie,49%,Y,"['smorajames: In Iowa to see #Hillary #ImWithHer cuz She is #MiHermana and the GOP is scared of her!!!!!!\n', 'NewhouseEsq: Welcome to CB, @hillaryclinton. Need a coffee or anything? (@ Drips - @lcs_drips in Council Bluffs, IA) https://t.co/eowzpCBi9L\n', 'Kj_Sloan: At hillaryclinton campaign rally in Iowa. Rally music is Shake it Off by taylorswift. How https://t.co/mZ79bHv0Eh\n', 'emily_rj: Spotted at an #ALHS rally for #HillaryClinton the day before the #IowaCaucuses, entertaining https://t.co/1NWuCLOlxh\n', 'emily_rj: Spotted at an #ALHS rally for #HillaryClinton the day before the #IowaCaucuses, entertaining https://t.co/1NWuCLOlxh\n']"
clinton,Poweshiek,47%,Y,"['jeanimurray: Busting at the seems in Grinnell for #hillaryclinton #hillaryforia #imwithher @ Harris Center https://t.co/bQuKZoGk9J\n', 'Merrell32: Number 42 speaking to hillaryclinton supporters in Grinnell, IA. #imwithher #iowacaucus #hillyes https://t.co/P9cPyaz2yO\n']"
clinton,Ringgold,66%,Y,
clinton,Sac,55%,Y,
clinton,Scott,49%,Y,"['JulieSmolyansky: Excited to be in #lowa with my mom to help elect #Hillary! #iowacaucus #imwithher #Hillary2016 https://t.co/HHmjGAVGGT\n', 'JulieSmolyansky: Excited to be in #lowa with my mom to help elect #Hillary! #iowacaucus #imwithher #Hillary2016 https://t.co/HHmjGAVGGT\n']"
clinton,Shelby,42%,Y,
clinton,Sioux,48%,Y,
clinton,Story,40%,Y,"['KCarol14: We are here for Hillary! #hillaryclinton #iowansforhillary #gunsensevoter #momsdemandaction https://t.co/VjBnn1m4gx\n', 'KCarol14: We are here for Hillary! #hillaryclinton #iowansforhillary #gunsensevoter #momsdemandaction https://t.co/VjBnn1m4gx\n', 'KCarol14:  HILLARY IS IN FRONT OF ME AND POINTED AT MY POSTER!!  #hillaryclinton #gunsensevoter https://t.co/fAMe6opxc0\n', 'ShawnDavisDC: Iowa is ready for hillaryclinton. @gabbygiffords is amazing and no one person was sitting for https://t.co/cAolKwqe56\n', 'JGPAYNE: Marion and Hillary!  Two leaders! @emersoncollege #emersoniniowa @ec_college @ Iowa State https://t.co/RQAa5LWClG\n', 'JGPAYNE: Bo and Hillary @emersoncollege #emersoniniowa @ Iowa State University https://t.co/O9Cwxb7VZW\n', 'natsfert: Hillary at Iowa state university today. #iowacaucus #mcclatchyvideo @ Iowa State University https://t.co/KvO5ZyeZo8\n', 'rinnaa_: I FINALLY got to meet hillaryclinton today! She has been one of the most influential people in https://t.co/18BO72nZK5\n']"
clinton,Tama,53%,Y,
